label,corr_thresh,vol_thresh,base_bil,guard_bil,mode,sharpe,return,vol,mdd,calmar,triple,months_guard_active,pct_guard_active
CG_corr-0.20_vol0.16_base0.10_guard0.35_either,-0.2,0.16,0.1,0.35,either,0.9611876566541183,0.07934890707247319,0.08255298174415358,-0.0936208599542615,0.8475558450460626,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.10_guard0.35_corr_only,-0.2,0.16,0.1,0.35,corr_only,0.9991877791761751,0.08469297793319863,0.08476182325110855,-0.09383015163044074,0.9026200689387164,False,66,0.5789473684210527
CG_corr-0.20_vol0.16_base0.10_guard0.40_either,-0.2,0.16,0.1,0.4,either,0.9915826752668767,0.07879805838463601,0.07946695757207348,-0.09447083019081265,0.8340993534774629,False,73,0.6403508771929824
CG_corr-0.20_vol0.16_base0.10_guard0.40_corr_only,-0.2,0.16,0.1,0.4,corr_only,1.0405158315633634,0.08550474284237661,0.08217534058458936,-0.09447083019081265,0.9050914728882313,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.05_guard0.25_either,-0.2,0.18,0.05,0.25,either,0.9000140427976466,0.08203540405046739,0.09114902673681026,-0.10409052336320639,0.7881159725195984,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.05_guard0.25_corr_only,-0.2,0.18,0.05,0.25,corr_only,0.9137872768635321,0.08412845166645162,0.09206568508505907,-0.1040905233632064,0.8082239280601897,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.05_guard0.30_either,-0.2,0.18,0.05,0.3,either,0.9642270696687577,0.08491786277378713,0.088068324822035,-0.09979255825325462,0.8509438405044359,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.05_guard0.30_corr_only,-0.2,0.18,0.05,0.3,corr_only,0.9814951738909056,0.08754518603863343,0.08919573765358543,-0.09979255825325462,0.8772716880998312,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.05_guard0.35_either,-0.2,0.18,0.05,0.35,either,0.983327668107397,0.08394132820297182,0.08536455438555189,-0.0997925582532545,0.8411581952829059,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.05_guard0.35_corr_only,-0.2,0.18,0.05,0.35,corr_only,1.0048834954339096,0.0871298706484735,0.08670644014394001,-0.0997925582532545,0.8731099009141993,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.05_guard0.40_either,-0.2,0.18,0.05,0.4,either,1.0185068137316307,0.08417811416073828,0.0826485527890819,-0.09979255825325453,0.8435309770004116,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.05_guard0.40_corr_only,-0.2,0.18,0.05,0.4,corr_only,1.0438743034892037,0.08789263415432161,0.08419848430077831,-0.09979255825325453,0.8807533917636104,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.08_guard0.25_either,-0.2,0.18,0.08,0.25,either,0.9001751508312505,0.08122850108306837,0.09023632901670232,-0.10410193950942495,0.7802784603807913,False,69,0.6052631578947368
CG_corr-0.20_vol0.18_base0.08_guard0.25_corr_only,-0.2,0.18,0.08,0.25,corr_only,0.9119284105497262,0.08299474871367594,0.09101015798339399,-0.10410193950942487,0.7972449803028119,False,66,0.5789473684210527
CG_corr-0.20_vol0.18_base0.08_guard0.30_either,-0.2,0.18,0.08,0.3,either,0.9653483822030894,0.08404225562489642,0.08705899048910994,-0.09692295434954161,0.8671037339803694,False,69,0.6052631578947368
