corr_thresh,base_bil,overlay_mods,sharpe,return,mdd,triple,guard_months
0.1,0.03,s7+stop,0.9609799043546242,0.09534175546144436,-0.12172014437423934,False,29
0.1,0.05,none,0.8856780561698943,0.08540692653462227,-0.13358271538566935,False,29
0.1,0.05,v5_mods,0.890217424034229,0.09288128298579852,-0.12566468074771847,False,29
0.1,0.05,s7_aggressive,0.8493997719313596,0.08349205386077606,-0.13721587296292292,False,29
0.1,0.05,stop_tight,0.9663409003604012,0.08970992317574433,-0.1299515825437639,False,29
0.1,0.05,vol_low,0.8615734560987057,0.08050403634697029,-0.13423456140711218,False,29
0.1,0.05,s7+stop,0.9886883544925781,0.09631217818698692,-0.12003779514267161,False,29
0.1,0.08,none,0.8744056146889039,0.08345388672727021,-0.13105518969174168,False,29
0.1,0.08,v5_mods,0.9173963924244718,0.0924863513836527,-0.1279442798481152,False,29
0.1,0.08,s7_aggressive,0.855816176072206,0.08287661729039998,-0.13471916615520055,False,29
0.1,0.08,stop_tight,0.9893818047333084,0.08990764149566141,-0.12730604874832085,False,29
0.1,0.08,vol_low,0.8510426592990484,0.078701934164444,-0.13167261240722372,False,29
0.1,0.08,s7+stop,0.9689124495557068,0.09314736445572752,-0.12081538844014368,False,29
0.1,0.1,none,0.8744268270332411,0.08242081635748753,-0.12737777633697336,False,29
0.1,0.1,v5_mods,0.9377724045295034,0.09304418437460951,-0.12477703291986866,False,29
0.1,0.1,s7_aggressive,0.8701095875756557,0.0829085486168718,-0.13110896335701983,False,29
0.1,0.1,stop_tight,0.9552040100027986,0.08626158693916094,-0.1255418976356029,False,29
0.1,0.1,vol_low,0.8604401353683613,0.07832768683059432,-0.1280185232122592,False,29
0.1,0.1,s7+stop,0.9449951960792375,0.089557533097594,-0.1257822059974024,False,29
0.15,0.0,none,0.8444010187591143,0.0842277521706555,-0.13923596617352088,False,26
0.15,0.0,v5_mods,0.8660894015123322,0.09378375276286954,-0.1316986547611451,False,26
0.15,0.0,s7_aggressive,0.8407193428511381,0.0856904156895111,-0.1409603573756606,False,26
